"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "JSON", "HTML", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\MyOrders\MyOrders.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 178
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Order\Order.jsx", "JavaScript JSX", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 284
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Product\Product.jsx", "JavaScript JSX", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 401
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 177
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\services\ProtectedRoutes.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\src\utils\OtpInput.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\client\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 26, 25, 190
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 10, 198
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\CommerzaApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\controller\CartController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 18, 71
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\dto\AddToCartRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\dto\CartItemResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 11, 31
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\dto\CartResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 8, 24
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\dto\MessageResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\dto\UpdateCartItemRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\entity\Cart.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 38
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\entity\CartItem.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 11, 51
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\repository\CartItemRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 9, 24
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\repository\CartRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 7, 18
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\service\CartService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\cart\service\CartServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 49, 221
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\controller\CategoryController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 13, 73
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\CategoryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\CategoryResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\CreateCategoryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\CreateCategoryResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\ErrorResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\dto\UpdateCategoryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\entity\Category.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 9, 41
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 34
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\repository\CategoryRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
